Technique;N Shot;Top1 Acc Espèce;Top1 Corr Espèce;Top1 Acc Genre;Top1 Corr Genre;Top5 Acc Espèce;Top5 Corr Espèce;Top5 Acc Genre;Top5 Corr Genre;Chargement (s);Inférence (s);Formatage (s);Sauvegarde (s);Temps Total (s)
PREDICTIONS ZERO SHOT;0;8.60%;43/500;33.20%;166/500;22.80%;114/500;41.00%;205/500;;;;;
PREDICTIONS FEW SHOT sur 4 especes;1;66.67%;216/324;88.89%;288/324;100.00%;324/324;100.00%;324/324;5.3447;72.265;0.0777;0.016;77.7034
PREDICTIONS FEW SHOT sur 4 especes;5;79.55%;245/308;95.78%;295/308;100.00%;308/308;100.00%;308/308;0.9653;61.5647;0.0824;0.0117;62.6241
PREDICTIONS FEW SHOT sur 4 especes;10;86.81%;250/288;95.14%;274/288;100.00%;288/288;100.00%;288/288;0.9725;104.8521;0.107;0.0142;105.9458
PREDICTIONS FEW SHOT sur 4 especes;25;89.91%;205/228;95.18%;217/228;100.00%;228/228;100.00%;228/228;1.0575;48.7827;0.0598;0.0111;49.9111
PREDICTIONS FEW SHOT sur 4 especes;50;91.41%;117/128;96.09%;123/128;100.00%;128/128;100.00%;128/128;1.0568;27.532;0.0362;0.0072;28.6322
PREDICTIONS FEW SHOT all dataset;1;44.15%;1267/2870;76.24%;2188/2870;72.61%;2084/2870;94.25%;2705/2870;23.0155;147.6153;0.1609;0.1558;170.9475
PREDICTIONS FEW SHOT all dataset;5;64.74%;1858/2870;88.92%;2552/2870;90.35%;2593/2870;97.49%;2798/2870;30.1724;451.9488;0.176;0.1701;482.4673
PREDICTIONS FEW SHOT all dataset;10;71.95%;2065/2870;90.94%;2610/2870;93.48%;2683/2870;98.40%;2824/2870;44.9894;775.5454;0.1909;0.1746;820.9003
PREDICTIONS FEW SHOT all dataset;25;76.62%;2199/2870;92.58%;2657/2870;95.26%;2734/2870;98.64%;2831/2870;140.4983;1202.7911;0.2138;0.1723;1343.6755
PREDICTIONS FEW SHOT all dataset;50;75.86%;2106/2776;92.29%;2562/2776;94.31%;2618/2776;98.63%;2738/2776;156.4283;3467.47;0.3003;0.2905;3624.4891
